,mean_of_knn_distance,within_ad
sample_1,1.6075225142567995,true
sample_2,1.6550336582789478,true
sample_3,1.9216903639555298,true
sample_4,1.7552802657176678,true
sample_5,2.294892867622952,true
sample_6,1.6123906650513242,true
sample_7,2.1447965277723373,true
sample_8,2.089579383906007,true
sample_9,1.838748659442853,true
sample_10,1.452159131731038,true
sample_11,1.8306800713905944,true
sample_12,1.3634657945841848,true
sample_13,1.5743889005529694,true
sample_14,2.651419497853543,false
sample_15,2.150628517324214,true
sample_16,1.818806949272929,true
sample_17,2.3641475685578444,true
sample_18,1.6760294802583524,true
sample_19,1.958379193268928,true
sample_20,1.9582803089332201,true
