,mean_of_knn_distance
sample_1,1.6075225142567995
sample_2,1.6550336582789478
sample_3,1.9216903639555298
sample_4,1.7552802657176678
sample_5,2.294892867622952
sample_6,1.6123906650513244
sample_7,2.1447965277723378
sample_8,2.089579383906007
sample_9,1.838748659442853
sample_10,1.452159131731038
sample_11,1.8306800713905946
sample_12,1.3634657945841848
sample_13,1.5743889005529694
sample_14,2.651419497853543
sample_15,2.150628517324214
sample_16,1.818806949272929
sample_17,2.3641475685578444
sample_18,1.6760294802583526
sample_19,1.958379193268928
sample_20,1.9582803089332201
